1.695	1.1
1.795	2.2
1.895	3.2
1.995	4.3
2.095	5.3
2.195	6.3
2.295	7.4
2.395	8.4
2.495	9.7
2.595	10.7
2.695	11.8
2.795	13
2.895	14
2.995	15.4
3.095	16.7
3.195	17.8
3.295	19.3
3.395	20.8
3.495	22.1
3.595	23.6
3.695	25.2
3.795	26.8
3.895	28.6
3.995	30.8
4.095	32.9
4.195	35.2
4.295	37.8
4.395	40.8
4.495	44.3
4.595	48.6
4.695	54
4.795	61.3
4.895	73
4.9415	82.6
4.9635	89.1
4.982	97.6
4.993	103.3
5.007	119.3
5.017	136.3
5.027	149.5
5.037	157.6
5.053	166.3
5.0745	173.9
5.1105	181.2
5.177	187.9
5.277	195.7
5.377	200

