V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-53.3
2;2.7
2.1;2.5
2.2;3.7
2.3;5
2.4;5.9
2.5;7.3
2.6;8.1
2.7;9.5
2.8;10.5
2.9;11.2
3;12.9
3.1;13.9
3.2;15.2
3.3;16.4
3.4;17.8
3.5;19.2
3.6;20.7
3.7;22.1
3.8;23.9
3.9;25.4
4;27.4
4.1;29.2
4.2;31.5
4.3;34
4.4;36.5
4.5;39.7
4.6;43.4
4.7;47.5
4.8;53.5
4.9;61.4
5;75.8
5.1;142.7
5.2;181.2
5.3;189.1
5.4;193.4
5.5;197.4
5.6;200.4
5.7;202.6
5.8;204.6
5.9;205.9
6;207.3

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.4;9.93
2.5;11.71
2.6;10.78
2.7;10.81
2.8;11.16
2.9;11.28
3;11.88
3.1;12.14
3.2;12.97
3.3;13.15
3.4;13.46
3.5;14.35
3.6;14.98
3.7;15.63
3.8;16.35
3.9;17.67
4;18.99
4.1;20.6
4.2;22.76
4.3;25.04
4.4;27.74
4.5;30.08
4.6;8.57
4.7;42.46
4.8;138.34
4.9;242.13
5;311.61
5.1;324.07
5.2;275.64
5.3;181.81
5.4;74.78
5.5;0.86

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-61.4
2;-3.1
2.1;-2.2
2.2;-0.9
2.3;0.7
2.4;1.8
2.5;2.7
2.6;4
2.7;5.3
2.8;6.5
2.9;7.7
3;8.9
3.1;10.3
3.2;11.7
3.3;12.9
3.4;13.9
3.5;15.8
3.6;17.3
3.7;18.9
3.8;20.8
3.9;22.5
4;24.5
4.1;26.7
4.2;28.7
4.3;31.3
4.4;34.3
4.5;37.4
4.6;41.2
4.7;45.7
4.8;52.3
4.9;61.1
5;77.2
5.1;139.2
5.2;180.1
5.3;191.6
5.4;194.8
5.5;198.6
5.6;201.5
5.7;203.9
5.8;205.9
5.9;207.5
6;209

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.4;11.81
2.5;12.07
2.6;11.63
2.7;11.8
2.8;12.57
2.9;13
3;12.45
3.1;12.58
3.2;12.99
3.3;13.38
3.4;14.2
3.5;15.1
3.6;16.2
3.7;17.49
3.8;18.1
3.9;18.49
4;20.07
4.1;21.6
4.2;23.65
4.3;25.83
4.4;28.74
4.5;31.36
4.6;15.29
4.7;47.27
4.8;139.08
4.9;243.75
5;314.33
5.1;327.84
5.2;280.14
5.3;186.99
5.4;79.98
5.5;4.73

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-65.8
2;-3.5
2.1;-3.4
2.2;-1.9
2.3;-0.6
2.4;0.7
2.5;2.1
2.6;3.2
2.7;4.1
2.8;5.5
2.9;6.9
3;8
3.1;9.2
3.2;10.9
3.3;12.1
3.4;13.8
3.5;15.4
3.6;16.4
3.7;18.3
3.8;20.1
3.9;21.9
4;24.1
4.1;26
4.2;28.4
4.3;31.3
4.4;34
4.5;37.5
4.6;41.4
4.7;47.2
4.8;54.2
4.9;65
5;91.1
5.1;176.3
5.2;190.9
5.3;197.3
5.4;201.1
5.5;203.9
5.6;205.8
5.7;206.2
5.8;207.6
5.9;209
6;210.2

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.4;11.52
2.5;12.86
2.6;11.9
2.7;11.69
2.8;12.06
2.9;12.45
3;13.17
3.1;14.09
3.2;14.07
3.3;14.41
3.4;14.84
3.5;14.93
3.6;15.7
3.7;16.86
3.8;17.7
3.9;19.53
4;21.07
4.1;22.42
4.2;24.16
4.3;26.91
4.4;30.25
4.5;29.68
4.6;8.36
4.7;81.35
4.8;195.1
4.9;295.74
5;346.91
5.1;332.15
5.2;257.01
5.3;142.61
5.4;31.87
5.5;-22.07

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-62
2;-2
2.1;-0.6
2.2;0.5
2.3;1.7
2.4;3.2
2.5;4.5
2.6;5.4
2.7;6.7
2.8;7.9
2.9;9.1
3;10.5
3.1;11.7
3.2;13
3.3;14.3
3.4;15.8
3.5;17.2
3.6;18.8
3.7;20.5
3.8;22.1
3.9;23.9
4;26
4.1;28.1
4.2;30.5
4.3;33.3
4.4;36.3
4.5;39.7
4.6;43.9
4.7;49.2
4.8;56.2
4.9;67.9
5;98.8
5.1;176.1
5.2;184.3
5.3;190.3
5.4;194.5
5.5;197.6
5.6;199.9
5.7;201.8
5.8;203.5
5.9;204.9
6;206.1

