=== RAW DATA ===
volume,potential
0.0,115.0
0.05,109.7
0.1,105.6
0.225,94.7
0.3115,89.0
0.4685,81.1
0.6835,72.5
0.9305,65.4
1.318,55.7
1.6825,48.7
2.1825,39.6
2.6365,31.8
3.135,24.0
3.635,14.9
4.021,6.7
4.345,-2.1
4.5725,-9.5
4.78,-18.4
4.9205,-26.3
5.03,-34.4
5.112,-43.4
5.162,-49.8
5.216,-58.9
5.266,-69.1
5.316,-81.7
5.366,-96.8
5.416,-137.6
5.466,-186.7
5.516,-204.3
5.579,-214.7
5.6825,-224.5
5.83,-233.2
6.05,-241.7
6.3615,-249.8
6.821,-257.8


=== METRICS ===
Method,V_eq (mL),R²,k5,Zones (start-end)
Gran Raw,,0.0,0.0,0-34
Gran Optimized,,0.0,0.0,0-34
Schwartz Raw,,0.0,0.0,0-34
Schwartz Optimized,,0.0,0.0,0-34
