0.0	8.256
0.1	8.177
0.2	8.099
0.3	8.005
0.4	7.896
0.5	7.766
0.6	7.616
0.7	7.451
0.8	7.289
0.9	7.145
1.0	7.018
1.1	6.910
1.2	6.817
1.3	6.735
1.4	6.661
1.5	6.597
1.6	6.536
1.7	6.479
1.8	6.426
1.9	6.375
2.0	6.326
2.1	6.280
2.2	6.235
2.3	6.193
2.4	6.151
2.5	6.109
2.6	6.067
2.7	6.026
2.8	5.985
2.9	5.944
3.0	5.903
3.1	5.859
3.2	5.816
3.3	5.772
3.4	5.726
3.5	5.678
3.6	5.626
3.7	5.572
3.8	5.516
3.9	5.456
4.0	5.390
4.1	5.318
4.2	5.236
4.3	5.144
4.4	5.032
4.5	4.908
4.6	4.750
4.7	4.563
4.8	4.363
4.9	4.187
5.0	4.040
5.1	3.925
5.2	3.834
5.3	3.754
5.4	3.684
5.5	3.626
5.6	3.575
5.7	3.526
5.8	3.485
5.9	3.446
6.0	3.409
6.1	3.377
6.2	3.347
