4.6,40.4,,4.6,40.3,,4.6,40.5,,4.6,39.9,,4.6,40.4,,4.6,41.1,
4.65,42.9,,4.65,42.8,,4.65,42.7,,4.65,42.4,,4.65,42.6,,4.65,43.6,
4.7,45.7,,4.7,45.9,,4.7,45.4,,4.7,45.2,,4.7,45.9,,4.7,46.3,
4.75,49,,4.75,49.1,,4.75,49.3,,4.75,48.4,,4.75,49.2,,4.75,49.7,
4.8,53.3,,4.8,53.3,,4.8,53.3,,4.8,52.5,,4.8,52.7,,4.8,53.2,
4.85,58.6,,4.85,58.3,,4.85,58.6,,4.85,57.9,,4.85,57.6,,4.85,58.7,
4.9,65.8,,4.9,64.7,,4.9,65.4,,4.9,64.2,,4.9,64.6,,4.9,65.5,
4.95,77.4,,4.95,75.8,,4.95,76.1,,4.95,75.1,,4.95,75,,4.95,76.8,
5,103.3,,5,98.1,,5,102.5,,5,102.2,,5,101.1,,5,101.2,
5.05,158.7,,5.05,157.9,,5.05,159.9,,5.05,158.7,,5.05,159.7,,5.05,158.6,
5.1,173.5,,5.1,172.9,,5.1,173.5,,5.1,172.8,,5.1,173.5,,5.1,172.1,
5.15,180.3,,5.15,177.8,,5.15,180.6,,5.15,179.7,,5.15,176.4,,5.15,178.8,
5.2,183,,5.2,182.2,,5.2,182.2,,5.2,181.8,,5.2,180.7,,5.2,180,
5.25,185.8,,5.25,185.5,,5.25,185.5,,5.25,184.9,,5.25,184.2,,5.25,183.1,
5.3,188.4,,5.3,188,,5.3,188.2,,5.3,187.6,,5.3,186.7,,5.3,185.5,
5.35,190.6,,5.35,190.1,,5.35,190.1,,5.35,189.4,,5.35,188.7,,5.35,187.6,
5.4,192.3,,5.4,191.9,,5.4,191.8,,5.4,191,,5.4,190.3,,5.4,189.2,
5.45,193.8,,5.45,193.4,,5.45,193.2,,5.45,192.5,,5.45,191.9,,5.45,190.7,
5.5,195.2,,5.5,194.7,,5.5,194.4,,5.5,193.7,,5.5,193.2,,5.5,192,
