0 158.7
0.02 158
0.04 157.8
0.09 155.5
0.215 151.1
0.415 143.7
0.615 137
0.815 129
1.015 125.9
1.215 120.9
1.415 116.5
1.615 111.9
1.815 107.8
2.015 103.9
2.215 100.4
2.415 96.4
2.615 92.4
2.815 88.4
3.015 84.8
3.215 80.5
3.415 76.2
3.615 71.1
3.815 66.5
4.015 60.6
4.215 54
4.415 45.9
4.61 33.8
4.694 29.1
4.856 9.9
4.8875 5.7
4.942 -8.1
4.962 -13
4.996 -34.5
5.016 -48.5
5.036 -112.7
5.056 -150
5.076 -166.6
5.098 -178
5.1225 -186.6
5.156 -194.8
5.203 -203.5
5.2595 -211.2
5.3395 -219.8
5.435 -226.4
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
