0 -177.5
0.5 -127.2
1 -107.2
1.5 -94
2 -82.7
2.5 -72.7
3 -62.5
3.5 -51.3
3.55 -50
3.6 -49
3.65 -46.7
3.7 -46.4
3.75 -45
3.8 -43.7
3.85 -42.2
3.9 -40.8
3.95 -39.2
4 -37.6
4.05 -36
4.1 -34.4
4.15 -32.6
4.2 -30.8
4.25 -28.7
4.3 -26.9
4.35 -24.6
4.4 -22.4
4.45 -19.7
4.5 -17
4.55 -14
4.6 -10.7
4.65 -7.2
4.7 -3.1
4.75 2
4.8 7.6
4.85 15.7
4.9 24.9
4.95 40.6
5 78.4
5.05 151.1
5.1 172.1
5.15 183.3
5.2 191.4
5.25 197.5
5.3 202.3
5.35 206.4
5.4 210
5.45 212.7
5.5 215.7
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
