V [mL];Benzoic acid TitrationEQP1 E
1.733;-19.88
1.933;-19.78
2.133;-20
2.333;-20.34
2.533;-20.95
2.733;-21.81
2.933;-23.2
3.133;-25.09
3.333;-28.86
3.533;-35.17
3.733;-46.27
3.933;-67.97
4.08;-100.57
4.15;-136.9
4.216;-310.97
4.275;-640.98
4.318;-1007.54
4.345;-1148.85
4.365;-1412.13
4.385;-1786.14
4.405;-1412.56
4.425;-1139.48
4.452;-1009.15
4.485;-651.23

V [mL];Benzoic acid TitrationEQP1 E
0;169.3
0.02;149.6
0.04;135.5
0.06;126.4
0.087;118.4
0.128;110.9
0.199;102.2
0.297;94.3
0.448;86.6
0.648;79.1
0.848;73.3
1.048;68.5
1.248;63.9
1.448;59.8
1.648;55.8
1.848;51.7
2.048;47.6
2.248;43.4
2.448;39.4
2.648;34.9
2.848;30.2
3.048;25
3.248;19.1
3.448;12
3.648;3.4
3.82;-5.7
3.942;-15.5
4.009;-23
4.059;-29.8
4.108;-39
4.139;-47.9
4.159;-55.7
4.179;-66.7
4.199;-86.7
4.219;-212.5
4.239;-237.4
4.272;-252.1
4.322;-262.3
4.408;-271.7
4.543;-279.1
4.743;-285.2
4.943;-289.2

V [mL];Benzoic acid TitrationEQP1 dE/dV
0.128;-247.32
0.199;-147.18
0.297;-91.72
0.448;-56.18
0.648;-35.32
0.848;-26.32
1.048;-22.59
1.248;-20.91
1.448;-20.26
1.648;-20.06
1.848;-20.06
2.048;-20.21
2.248;-20.68
2.448;-21.29
2.648;-22.43
2.848;-24.46
3.048;-27.15
3.248;-31.75
3.448;-39.68
3.648;-54.86
3.82;-81.46
3.942;-118.98
4.009;-161.06
4.059;-229.78
4.108;-600.73
4.139;-919.74
4.159;-1010.8
4.179;-1537.58
4.199;-1618.44
4.219;-1213.18
4.239;-1248.03
4.272;-1005.2

