5,Schwartz Optimized,3.753,0.020,0.9998,0-5
6,Schwartz Optimized,2.361,0.032,0.9959,0-6
7,Schwartz Optimized,4.770,0.000,1.0000,4-7
8,Schwartz Optimized,4.845,0.061,0.9984,3-7
9,Schwartz Optimized,4.076,0.024,0.9995,2-6
10,Schwartz Optimized,4.118,0.030,0.9991,2-7
11,Schwartz Optimized,5.181,0.046,0.9990,3-8
12,Schwartz Optimized,5.181,0.046,0.9990,3-8
13,Schwartz Optimized,5.489,0.046,0.9990,3-9
14,Schwartz Optimized,5.489,0.046,0.9990,3-9
15,Schwartz Optimized,5.436,0.040,0.9990,4-11
16,Schwartz Optimized,5.244,0.036,0.9991,9-16
17,Schwartz Optimized,4.930,0.020,0.9995,7-15
18,Schwartz Optimized,5.047,0.019,0.9996,9-18
19,Schwartz Optimized,5.295,0.021,0.9995,9-18
20,Schwartz Optimized,5.295,0.021,0.9995,9-18
21,Schwartz Optimized,5.078,0.016,0.9996,7-17
22,Schwartz Optimized,5.064,0.014,0.9996,9-20
23,Schwartz Optimized,5.152,0.016,0.9996,9-20
24,Schwartz Optimized,5.152,0.016,0.9996,9-20
25,Schwartz Optimized,5.108,0.012,0.9997,11-23
26,Schwartz Optimized,5.108,0.012,0.9997,11-23
27,Schwartz Optimized,5.107,0.013,0.9997,4-17
28,Schwartz Optimized,5.088,0.010,0.9998,9-23
29,Schwartz Optimized,5.069,0.010,0.9998,9-23
30,Schwartz Optimized,5.064,0.009,0.9998,9-24
31,Schwartz Optimized,5.090,0.009,0.9998,9-24
32,Schwartz Optimized,5.055,0.008,0.9998,7-23
33,Schwartz Optimized,5.100,0.009,0.9998,7-23
34,Schwartz Optimized,5.107,0.009,0.9998,10-26
35,Schwartz Optimized,5.109,0.008,0.9998,9-26
36,Schwartz Optimized,5.102,0.008,0.9998,9-26
37,Schwartz Optimized,5.092,0.006,0.9998,18-36
38,Schwartz Optimized,5.092,0.006,0.9998,18-36
39,Schwartz Optimized,5.083,0.005,0.9998,16-35
40,Schwartz Optimized,5.094,0.006,0.9998,16-35
41,Schwartz Optimized,5.093,0.005,0.9999,16-36
42,Schwartz Optimized,5.077,0.004,0.9999,19-40
43,Schwartz Optimized,5.074,0.004,0.9999,21-42
44,Schwartz Optimized,5.080,0.005,0.9999,13-35
45,Schwartz Optimized,5.081,0.004,0.9999,20-42
46,Schwartz Optimized,5.081,0.004,0.9999,20-42
47,Schwartz Optimized,5.084,0.004,0.9999,13-36
48,Schwartz Optimized,5.084,0.004,0.9999,13-36
49,Schwartz Optimized,5.080,0.004,0.9999,11-35
50,Schwartz Optimized,5.081,0.004,0.9999,11-36
51,Schwartz Optimized,5.077,0.004,0.9999,11-36
52,Schwartz Optimized,5.075,0.004,0.9999,9-35
53,Schwartz Optimized,5.077,0.004,0.9999,9-35
54,Schwartz Optimized,5.078,0.003,0.9999,9-36
55,Schwartz Optimized,5.067,0.003,0.9999,9-36
56,Schwartz Optimized,5.067,0.003,0.9999,7-35
57,Schwartz Optimized,5.028,0.002,0.9999,27-55
58,Schwartz Optimized,5.031,0.001,0.9999,28-57
59,Schwartz Optimized,5.030,0.001,0.9999,28-57
60,Schwartz Optimized,5.029,0.001,1.0000,29-59
61,Schwartz Optimized,5.027,0.001,1.0000,29-59
62,Schwartz Optimized,5.027,0.001,1.0000,28-59
63,Schwartz Optimized,5.032,0.001,0.9999,28-59
64,Schwartz Optimized,5.031,0.001,1.0000,27-59
65,Schwartz Optimized,5.032,0.001,1.0000,27-59
66,Schwartz Optimized,5.031,0.001,1.0000,26-59
67,Schwartz Optimized,5.030,0.001,1.0000,26-59
68,Schwartz Optimized,5.029,0.001,1.0000,25-59
69,Schwartz Optimized,5.030,0.001,1.0000,25-59
70,Schwartz Optimized,5.030,0.001,1.0000,24-59
71,Schwartz Optimized,5.029,0.001,1.0000,24-59
72,Schwartz Optimized,5.029,0.001,1.0000,23-59
