0.25	-144	nan	nan	0.9887
0.3	-140	nan	nan	0.9846
0.35	-136.3	nan	nan	0.9794
0.4	-132.8	nan	nan	0.9764
0.45	-129.9	nan	nan	0.9708
0.5	-127.2	nan	nan	0.9648
0.55	-124.3	nan	nan	0.9640
0.6	-122.2	nan	nan	0.9589
0.65	-119.8	nan	nan	0.9568
0.7	-117.8	0.578	0.048	0.7454
0.75	-115.6	1.407	0.024	0.9971
0.8	-113.8	1.452	0.032	0.9933
0.85	-112.1	9.840	0.004	1.0000
0.9	-110.8	1.561	0.051	0.9786
0.95	-108.7	1.756	0.056	0.9793
1	-107.2	0.752	0.057	0.6647
1.05	-105.6	0.780	0.059	0.6535
1.1	-104.5	0.808	0.060	0.6426
1.15	-102.6	0.837	0.062	0.6324
1.2	-101.5	0.865	0.063	0.6225
1.25	-100	0.893	0.064	0.6131
1.3	-98.8	0.921	0.066	0.6040
1.35	-97.5	2.511	0.054	0.9857
1.4	-96.4	2.852	0.062	0.9856
1.45	-95.1	2.789	0.062	0.9832
1.5	-94	3.330	0.069	0.9864
1.55	-92.6	3.370	0.066	0.9870
1.6	-91.5	3.856	0.067	0.9909
1.65	-90.4	3.688	0.056	0.9929
1.7	-89.2	3.888	0.052	0.9943
1.75	-87.9	3.761	0.047	0.9943
1.8	-88.2	3.761	0.047	0.9943
1.85	-86.1	4.230	0.059	0.9932
1.9	-84.9	4.209	0.055	0.9938
1.95	-83.8	4.294	0.054	0.9943
2	-82.7	4.275	0.050	0.9948
2.05	-81.7	4.391	0.050	0.9953
2.1	-80.3	4.340	0.053	0.9944
2.15	-80.2	4.340	0.053	0.9944
2.2	-78.9	4.187	0.056	0.9928
2.25	-78.9	4.187	0.056	0.9928
2.3	-77.1	4.711	0.048	0.9961
2.35	-75.7	4.625	0.048	0.9958
2.4	-74.7	4.571	0.053	0.9948
2.45	-73.7	4.825	0.049	0.9962
2.5	-72.7	4.784	0.050	0.9958
2.55	-71.6	5.070	0.052	0.9962
2.6	-70.7	5.047	0.049	0.9964
2.65	-69.6	5.036	0.048	0.9965
2.7	-68.7	5.002	0.049	0.9963
2.75	-67.5	4.933	0.049	0.9961
2.8	-66.6	4.906	0.048	0.9961
2.85	-65.6	5.120	0.046	0.9968
2.9	-64.6	5.120	0.046	0.9968
2.95	-63.8	5.041	0.044	0.9969
3	-62.5	4.452	0.038	0.9918
3.05	-61.5	4.557	0.036	0.9929
3.1	-60.3	4.613	0.034	0.9936
3.15	-59.3	4.669	0.033	0.9942
3.2	-58.2	4.648	0.031	0.9942
3.25	-57.3	4.703	0.031	0.9946
3.3	-56	4.725	0.030	0.9948
3.35	-54.8	4.754	0.030	0.9950
3.4	-53.6	4.789	0.028	0.9954
3.45	-52.4	4.870	0.023	0.9969
3.5	-51.3	4.883	0.027	0.9960
3.55	-50	4.935	0.020	0.9974
3.6	-49	5.019	0.021	0.9974
3.65	-46.7	5.006	0.020	0.9974
3.7	-46.4	5.011	0.019	0.9976
3.75	-45	5.014	0.018	0.9978
3.8	-43.7	5.002	0.018	0.9977
3.85	-42.2	5.021	0.016	0.9980
3.9	-40.8	5.006	0.016	0.9978
3.95	-39.2	4.993	0.014	0.9983
4	-37.6	4.972	0.015	0.9982
4.05	-36	4.977	0.014	0.9982
4.1	-34.4	4.982	0.013	0.9983
4.15	-32.6	4.977	0.012	0.9986
4.2	-30.8	4.979	0.011	0.9987
4.25	-28.7	4.980	0.010	0.9987
4.3	-26.9	4.987	0.010	0.9988
4.35	-24.6	4.989	0.009	0.9989
4.4	-22.4	5.002	0.005	0.9997
4.45	-19.7	5.002	0.005	0.9997
4.5	-17	5.007	0.004	0.9998
4.55	-14	5.006	0.003	0.9998
4.6	-10.7	5.005	0.003	0.9998
4.65	-7.2	5.006	0.003	0.9998
4.7	-3.1	5.007	0.003	0.9998
4.75	2	5.007	0.003	0.9999
4.8	7.6	5.007	0.003	0.9999
4.85	15.7	5.006	0.003	0.9999
4.9	24.9	5.009	0.003	0.9999
4.95	40.6	5.010	0.003	0.9999
5	78.4	5.011	0.003	0.9999
5.05	151.1	5.007	0.003	0.9999
5.1	172.1	5.007	0.003	0.9999
5.15	183.3	5.007	0.002	0.9999
5.2	191.4	5.007	0.002	0.9999
5.25	197.5	5.006	0.002	0.9999
5.3	202.3	5.006	0.002	0.9999
5.35	206.4	5.007	0.002	0.9999
5.4	210	5.007	0.002	0.9999
5.45	212.7	5.005	0.003	0.9998
5.5	215.7	5.005	0.003	0.9998
