3.5 -51.3	  Trimmed to 71 points → V_eq = 4.883 ± 0.027	0.9960,
3.55 -50	  Trimmed to 72 points → V_eq = 4.935 ± 0.020	0.9974,
3.6 -49	  Trimmed to 73 points → V_eq = 5.019 ± 0.021	0.9974,
3.65 -46.7	  Trimmed to 74 points → V_eq = 5.006 ± 0.020	0.9974,
3.7 -46.4	  Trimmed to 75 points → V_eq = 5.011 ± 0.019	0.9976,
3.75 -45	  Trimmed to 76 points → V_eq = 5.014 ± 0.018	0.9978,
3.8 -43.7	  Trimmed to 77 points → V_eq = 5.002 ± 0.018	0.9977,
3.85 -42.2	  Trimmed to 78 points → V_eq = 5.021 ± 0.016	0.9980,
3.9 -40.8	  Trimmed to 79 points → V_eq = 5.006 ± 0.016	0.9978,
3.95 -39.2	  Trimmed to 80 points → V_eq = 4.993 ± 0.014	0.9983,
4 -37.6	  Trimmed to 81 points → V_eq = 4.972 ± 0.015	0.9982,
4.05 -36	  Trimmed to 82 points → V_eq = 4.977 ± 0.014	0.9982,
4.1 -34.4	  Trimmed to 83 points → V_eq = 4.982 ± 0.013	0.9983,
4.15 -32.6	  Trimmed to 84 points → V_eq = 4.977 ± 0.012	0.9986,
4.2 -30.8	  Trimmed to 85 points → V_eq = 4.979 ± 0.011	0.9987,
4.25 -28.7	  Trimmed to 86 points → V_eq = 4.980 ± 0.010	0.9987,
4.3 -26.9	  Trimmed to 87 points → V_eq = 4.987 ± 0.010	0.9988,
4.35 -24.6	  Trimmed to 88 points → V_eq = 4.989 ± 0.009	0.9989,
4.4 -22.4	  Trimmed to 89 points → V_eq = 5.002 ± 0.005	0.9997,
4.45 -19.7	  Trimmed to 90 points → V_eq = 5.002 ± 0.005	0.9997,
4.5 -17	  Trimmed to 91 points → V_eq = 5.007 ± 0.004	0.9998,
4.55 -14	  Trimmed to 92 points → V_eq = 5.006 ± 0.003	0.9998,
4.6 -10.7	  Trimmed to 93 points → V_eq = 5.005 ± 0.003	0.9998,
4.65 -7.2	  Trimmed to 94 points → V_eq = 5.006 ± 0.003	0.9998,
4.7 -3.1	  Trimmed to 95 points → V_eq = 5.007 ± 0.003	0.9998,
4.75 2	  Trimmed to 96 points → V_eq = 5.007 ± 0.003	0.9999,
4.8 7.6	  Trimmed to 97 points → V_eq = 5.007 ± 0.003	0.9999,
4.85 15.7	  Trimmed to 98 points → V_eq = 5.006 ± 0.003	0.9999,
4.9 24.9	  Trimmed to 99 points → V_eq = 5.009 ± 0.003	0.9999,
4.95 40.6	  Trimmed to 100 points → V_eq = 5.010 ± 0.003	0.9999,
5 78.4	  Trimmed to 101 points → V_eq = 5.011 ± 0.003	0.9999,
5.05 151.1	  Trimmed to 102 points → V_eq = 5.007 ± 0.003	0.9999,
5.1 172.1	  Trimmed to 103 points → V_eq = 5.007 ± 0.003	0.9999,
5.15 183.3	  Trimmed to 104 points → V_eq = 5.007 ± 0.002	0.9999,
5.2 191.4	  Trimmed to 105 points → V_eq = 5.007 ± 0.002	0.9999,
5.25 197.5	  Trimmed to 106 points → V_eq = 5.006 ± 0.002	0.9999,
5.3 202.3	  Trimmed to 107 points → V_eq = 5.006 ± 0.002	0.9999,
5.35 206.4	  Trimmed to 108 points → V_eq = 5.007 ± 0.002	0.9999,
5.4 210	  Trimmed to 109 points → V_eq = 5.007 ± 0.002	0.9999,
5.45 212.7	  Trimmed to 110 points → V_eq = 5.005 ± 0.003	0.9998,
5.5 215.7	  Trimmed to 111 points → V_eq = 5.005 ± 0.003	0.9998,
