0 115.7
0.05 110.9
0.1 105.8
0.1735 99.6
0.289 91.3
0.422 84.1
0.6155 76.1
0.8715 67.4
1.156 60.7
1.635 51
2.1065 42.9
2.6065 34.7
3.1065 26.6
3.5995 17.7
4.006 10.3
4.439 -0.5
4.6705 -7.3
4.905 -16.6
5.0535 -24.9
5.155 -32.6
5.2335 -40
5.302 -47.7
5.3605 -56.7
5.4105 -66.8
5.4605 -79.4
5.5105 -94.6
5.5605 -123.8
5.6105 -181.6
5.6605 -200.8
5.723 -213
5.803 -221.8
5.934 -230.8
6.118 -239.1
6.3895 -247.1
6.807 -255.6
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
