4.592,35.5,,4.61,33.8,,4.6135,35.2,,5.11,-179.9,,5.075,-166.3,,5.08,-165.8,,3.25,80.1,,3.25,80.2,,3.25,80.1,,1.3,119.4,,1.3,119,,1.3,119.3,
4.702,27.3,,4.694,29.1,,4.7205,26.8,,5.1405,-189.5,,5.0985,-178.3,,5.105,-178,,3.3,78.9,,3.3,79,,3.3,79.1,,1.35,118.2,,1.35,117.9,,1.35,118.1,
4.782,19.9,,4.856,9.9,,4.7915,19.7,,5.1745,-197.3,,5.123,-186.6,,5.1305,-187.2,,3.35,77.9,,3.35,78,,3.35,77.9,,1.4,117.1,,1.4,116.8,,1.4,117.1,
4.852,10.9,,4.8875,5.7,,4.854,11.4,,5.223,-206.1,,5.158,-195.1,,5.161,-194,,3.4,76.7,,3.4,76.8,,3.4,76.7,,1.45,116,,1.45,115.6,,1.45,116,
4.896,3.3,,4.942,-8.1,,4.8995,4.3,,5.278,-212.8,,5.204,-203.9,,5.2175,-204,,3.45,75.7,,3.45,75.4,,3.45,75.7,,1.5,114.9,,1.5,114.6,,1.5,114.9,
4.9305,-5.3,,4.962,-13,,4.9435,-7.7,,5.3775,-222.3,,5.2575,-211,,5.2755,-211.8,,3.5,74.5,,3.5,74.7,,3.5,74.5,,1.55,113.8,,1.55,113.5,,1.55,113.7,
4.953,-12,,4.996,-34.5,,4.9635,-13.5,,5.4845,-228.9,,5.343,-219.5,,5.353,-218.7,,3.55,73.4,,3.55,73.4,,3.55,73.4,,1.6,112.7,,1.6,112.5,,1.6,112.7,
4.976,-21.4,,5.016,-48.5,,4.9895,-25.6,,5.684,-238.4,,5.4525,-227.4,,5.49,-228.6,,3.6,72.2,,3.6,72.2,,3.6,72.2,,1.65,111.7,,1.65,111.4,,1.65,111.6,
4.996,-33.4,,5.036,-112.7,,5.0095,-41.8,,,,,,,,,,,3.65,70.9,,3.65,71.6,,3.65,71,,1.7,110.7,,1.7,110.4,,1.7,110.6,
5.016,-51.1,,5.056,-150,,5.0295,-81.4,,,,,,,,,,,3.7,69.7,,3.7,70,,3.7,69.7,,1.75,109.6,,1.75,109.4,,1.75,109.6,
5.036,-101.5,,5.076,-166.6,,5.0495,-139.7,,,,,,,,,,,3.75,68.5,,3.75,68.4,,3.75,68.4,,1.8,108.7,,1.8,108.3,,1.8,108.6,
5.056,-147.4,,5.098,-178,,5.0695,-160.8,,,,,,,,,,,3.8,67,,3.8,66.9,,3.8,67.1,,1.85,107.7,,1.85,107.4,,1.85,107.6,
5.076,-164.6,,5.1225,-186.6,,5.0905,-173.3,,,,,,,,,,,3.85,65.8,,3.85,65.8,,3.85,65.8,,1.9,106.7,,1.9,106.3,,1.9,106.6,
5.101,-177.8,,5.156,-194.8,,5.1145,-182.8,,,,,,,,,,,3.9,64.5,,3.9,64.7,,3.9,64.4,,1.95,105.7,,1.95,105.4,,1.95,105.6,
5.1255,-186.3,,5.203,-203.5,,5.1445,-192,,,,,,,,,,,3.95,63,,3.95,62.9,,3.95,62.9,,2,104.7,,2,104.4,,2,104.6,
5.1605,-195.2,,5.2595,-211.2,,5.1785,-199.1,,,,,,,,,,,4,61.4,,4,61.4,,4,61.4,,2.05,103.6,,2.05,103.4,,2.05,103.7,
5.203,-203.4,,5.3395,-219.8,,5.2345,-208.5,,,,,,,,,,,4.05,60,,4.05,60.3,,4.05,59.9,,2.1,102.8,,2.1,102.5,,2.1,102.7,
5.258,-210.7,,5.435,-226.4,,5.2945,-215.3,,,,,,,,,,,4.1,58.2,,4.1,58.2,,4.1,58.2,,2.15,101.7,,2.15,101.5,,2.15,101.7,
5.344,-219.1,,,,,5.398,-224.2,,,,,,,,,,,4.15,56.5,,4.15,56.9,,4.15,56.5,,2.2,100.8,,2.2,100.5,,2.2,100.8,
5.456,-227.3,,,,,,,,,,,,,,,,,4.2,54.8,,4.2,54.7,,4.2,54.8,,2.25,99.8,,2.25,99.6,,2.25,99.8,
,,,,,,,,,,,,,,,,,,4.25,52.9,,4.25,53.1,,4.25,53.1,,2.3,98.9,,2.3,98.6,,2.3,98.8,
,,,,,,,,,,,,,,,,,,4.3,50.9,,4.3,51,,4.3,51,,2.35,97.8,,2.35,97.7,,2.35,97.9,
,,,,,,,,,,,,,,,,,,4.35,48.9,,4.35,48.8,,4.35,49,,2.4,97,,2.4,96.7,,2.4,97,
,,,,,,,,,,,,,,,,,,4.4,46.7,,4.4,47.6,,4.4,46.8,,2.45,96,,2.45,95.8,,2.45,96,
,,,,,,,,,,,,,,,,,,4.45,44,,4.45,44.6,,4.45,44.6,,2.5,95.1,,2.5,94.8,,2.5,95.1,
,,,,,,,,,,,,,,,,,,4.5,41.8,,4.5,41.8,,4.5,41.9,,2.55,94.2,,2.55,93.8,,2.55,94.1,
,,,,,,,,,,,,,,,,,,4.55,38.9,,4.55,39.2,,4.55,39.3,,2.6,93.2,,2.6,92.9,,2.6,93.1,
,,,,,,,,,,,,,,,,,,4.6,35.8,,4.6,36.1,,4.6,36,,2.65,92.2,,2.65,91.9,,2.65,92.2,
,,,,,,,,,,,,,,,,,,4.65,32.1,,4.65,32.7,,4.65,32.8,,2.7,91.2,,2.7,90.9,,2.7,91.2,
,,,,,,,,,,,,,,,,,,4.7,28.8,,4.7,28.7,,4.7,28.5,,2.75,90.3,,2.75,89.9,,2.75,90.3,
,,,,,,,,,,,,,,,,,,4.75,24.5,,4.75,24.3,,4.75,24.4,,2.8,89.3,,2.8,89,,2.8,89.2,
,,,,,,,,,,,,,,,,,,4.8,18.9,,4.8,19.1,,4.8,19.1,,2.85,88.3,,2.85,88.1,,2.85,88.2,
,,,,,,,,,,,,,,,,,,4.85,11.7,,4.85,12.2,,4.85,13,,2.9,87.3,,2.9,87.1,,2.9,87.3,
,,,,,,,,,,,,,,,,,,4.9,3.4,,4.9,4.5,,4.9,4.5,,2.95,86.3,,2.95,86.1,,2.95,86.3,
,,,,,,,,,,,,,,,,,,4.95,-13,,4.95,-10.1,,4.95,-9.8,,3,85.3,,3,85.1,,3,85.3,
,,,,,,,,,,,,,,,,,,5,-35,,5,-40.2,,5,-32.1,,3.05,84.3,,3.05,84.1,,3.05,84.4,
,,,,,,,,,,,,,,,,,,5.05,-141.1,,5.05,-140.2,,5.05,-138.6,,3.1,83.2,,3.1,83,,3.1,83.3,
,,,,,,,,,,,,,,,,,,5.1,-177.5,,5.1,-178.1,,5.1,-177.3,,3.15,82.2,,3.15,82,,3.15,82.2,
,,,,,,,,,,,,,,,,,,5.15,-193.1,,5.15,-192.9,,5.15,-192.3,,3.2,81.2,,3.2,81,,3.2,81.3,
,,,,,,,,,,,,,,,,,,5.2,-202.8,,5.2,-202.8,,5.2,-202,,3.25,80.1,,3.25,79.9,,3.25,80.1,
,,,,,,,,,,,,,,,,,,5.25,-210.2,,5.25,-210.1,,5.25,-209.5,,3.3,79.1,,3.3,78.8,,3.3,79.1,
,,,,,,,,,,,,,,,,,,5.3,-215.6,,5.3,-215.2,,5.3,-215.4,,3.35,78,,3.35,77.7,,3.35,77.9,
