V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
3.56;28.4
3.58;28.6
3.6;29
3.62;29.3
3.64;29.5
3.66;29.9
3.68;30.2
3.7;30.6
3.72;30.7
3.74;31.1
3.76;31.6
3.78;31.7
3.8;32
3.82;32.4
3.84;32.7
3.86;33
3.88;33.5
3.9;33.8
3.92;34.1
3.94;34.4
3.96;34.8
3.98;35.1
4;35.6
4.02;35.9
4.04;36.2
4.06;36.7
4.08;37.3
4.1;37.6
4.12;38.1
4.14;38.4
4.16;38.8
4.18;39.4
4.2;39.9
4.22;40.2
4.24;40.7
4.26;41.3
4.28;41.7
4.3;42.2
4.32;42.7
4.34;43.5
4.36;43.9
4.38;44.5
4.4;45
4.42;45.7
4.44;46.4
4.46;47.1
4.48;47.6
4.5;48.7
4.52;49.1
4.54;50.2
4.56;50.9
4.58;51.8
4.6;52.3
4.62;53.6
4.64;54.3
4.66;55.4
4.68;56.3
4.7;57.5
4.72;58.8
4.74;60.1
4.76;61.4
4.78;63
4.8;64.7
4.82;66.8
4.84;68.6
4.86;70.8
4.88;73.4
4.9;76.4
4.92;79.9
4.94;84.3
4.96;90.1
4.98;98
5;112.9
5.02;145.3
5.04;163.3
5.06;172.2
5.08;177.6
5.1;180.5
5.12;183.2
5.14;185.2
5.16;187.1
5.18;188.6
5.2;189.8

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.08;8.87
2.1;15.44
2.12;12.02
2.14;11.45
2.16;11.51
2.18;10.21
2.2;10.5
2.22;10.91
2.24;11.8
2.26;12.08
2.28;11.71
2.3;11.8
2.32;11.28
2.34;10.13
2.36;10.79
2.38;10.73
2.4;11.48
2.42;11.8
2.44;11.77
2.46;11.8
2.48;11.03
2.5;9.67
2.52;9.22
2.54;10
2.56;9.94
2.58;10.57
2.6;10.19
2.62;11.29
2.64;11.32
2.66;10.19
2.68;9.99
2.7;10.51
2.72;10.42
2.74;10.79
2.76;11.57
2.78;11.72
2.8;11.29
2.82;10.28
2.84;9.64
2.86;10.22
2.88;11.08
2.9;11.2
2.92;11.78
2.94;11.89
2.96;10.42
2.98;9.7
3;9.5
3.02;9.9
3.04;11.03
3.06;11.57
3.08;10.9
3.1;12.08
3.12;12.02
3.14;11.7
3.16;12.08
3.18;11.99
3.2;11.71
3.22;11.01
3.24;10.98
3.26;11.44
3.28;11.99
3.3;12.56
3.32;12.44
3.34;13.27
3.36;13.62
3.38;12.89
3.4;13.27
3.42;13.04
3.44;13.18
3.46;13.55
3.48;14.34
3.5;13.12
3.52;13.58
3.54;13
3.56;12.37
3.58;13.26
3.6;13.71
3.62;16.08
3.64;16.04
3.66;14.96
3.68;15.57
3.7;16.26
3.72;15.68
3.74;15.08
3.76;15.48
3.78;15.07
3.8;15.88
3.82;15.98
3.84;17.43
3.86;18.38
3.88;17.56
3.9;16.64
3.92;17.01
3.94;17.3
3.96;17.12
3.98;17.69
4;19.09
4.02;19.94
4.04;21.29
4.06;22.15
4.08;21.4
4.1;21.5
4.12;21.62
4.14;21.12
4.16;21.41
4.18;23.14
4.2;23.44
4.22;24.01
4.24;22.7
4.26;23.96
4.28;25.97
4.3;27.58
4.32;27.27
4.34;27.69
4.36;28.72
4.38;29.83
4.4;29.32
4.42;32.05
4.44;33.75
4.46;35.17
4.48;36.62
4.5;38.86
4.52;38.55
4.54;40.15
4.56;40.5
4.58;41.29
4.6;43.57
4.62;43.82
4.64;47.88
4.66;51.49
4.68;54.96
4.7;57.55
4.72;62.9
4.74;68.63
4.76;75.47
4.78;81.01
4.8;88.01
4.82;96.39
4.84;105.55
4.86;116.44
4.88;132.28
4.9;144.38
4.92;142.61
4.94;275.75
4.96;517.87
4.98;764.43
5;923.44
5.02;933.21
5.04;791.55
5.06;542.68
5.08;275.14
5.1;102.16

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;-39.8
2;13.1
2.02;12.5
2.04;12.9
2.06;13.1
2.08;13.5
2.1;13.6
2.12;14
2.14;14.2
2.16;14.4
2.18;14.6
2.2;14.9
2.22;15.2
2.24;15.3
2.26;15.7
2.28;15.9
2.3;16.2
2.32;16.3
2.34;16.6
2.36;16.8
2.38;17
2.4;17.3
2.42;17.6
2.44;17.6
2.46;17.9
2.48;18.2
2.5;18.4
2.52;18.6
2.54;18.7
2.56;19
2.58;19.2
2.6;19.4
2.62;19.7
2.64;19.8
2.66;20
2.68;20.3
2.7;20.5
2.72;20.7
2.74;20.8
2.76;21.3
2.78;21.4
2.8;21.5
2.82;21.7
2.84;22
2.86;22.2
2.88;22.4
2.9;22.7
2.92;22.9
2.94;23.1
2.96;23.3
2.98;23.5
3;23.7
3.02;23.8
3.04;24.1
3.06;24.5
3.08;24.6
3.1;24.8
3.12;25
3.14;25.2
3.16;25.5
3.18;25.7
3.2;25.9
3.22;26.3
3.24;26.5
3.26;26.7
3.28;27
3.3;27.2
3.32;27.4
3.34;27.7
3.36;27.8
3.38;28.1
3.4;28.4
3.42;28.6
3.44;29
3.46;29.2
3.48;29.4
3.5;29.7
3.52;30
3.54;30.3
3.56;30.5
3.58;30.7
3.6;31
3.62;31.3
3.64;31.6
3.66;31.9
3.68;32.3
3.7;32.4
3.72;32.9
3.74;33.1
3.76;33.3
3.78;33.7
3.8;34
3.82;34.3
3.84;34.6
3.86;34.9
3.88;35.3
3.9;35.7
3.92;36.1
3.94;36.4
3.96;36.7
3.98;37.2
4;37.4
4.02;37.8
4.04;38.2
4.06;38.7
4.08;39.1
4.1;39.6
4.12;39.9
4.14;40.3
4.16;40.7
4.18;41.1
4.2;41.7
4.22;41.9
4.24;42.6
4.26;42.9
4.28;43.6
4.3;43.9
4.32;44.6
4.34;45
4.36;45.8
4.38;46.1
4.4;47
4.42;47.3
4.44;48
4.46;48.9
4.48;49.3
4.5;50.4
4.52;50.8
4.54;51.8
4.56;52.3
4.58;53.4
4.6;54
4.62;55.2
4.64;56.2
4.66;57.2
4.68;58
4.7;59.4
4.72;60.5
4.74;62
4.76;63
4.78;64.7
4.8;66.2
4.82;68.6
4.84;70.6
4.86;72.1
4.88;75.8
4.9;78.8
4.92;81.8
4.94;86.4
4.96;92.6
4.98;101.8
5;117.6
5.02;149.5
5.04;165
5.06;172.7
5.08;176.5
5.1;179.7
5.12;182.4
5.14;184.4
5.16;186
5.18;187.5
5.2;188.4

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.08;10.26
2.1;15.31
2.12;11.72
2.14;12.27
2.16;11.38
2.18;12.04
2.2;11.72
2.22;13.28
2.24;13.02
2.26;12.56
2.28;11.99
2.3;11.44
2.32;10.98
2.34;11.3
2.36;11.71
2.38;11.19
2.4;11.37
2.42;10.93
2.44;11.51
2.46;10.79
2.48;10.45
2.5;10.74
2.52;10.51
2.54;9.99
2.56;10.51
2.58;10.69
2.6;10.8
2.62;10.8
2.64;10.71
2.66;9.93
2.68;10.53
2.7;11.54
2.72;12.01
2.74;10.77
2.76;10.28
2.78;10.42
2.8;9.96
2.82;10.04
2.84;10.42
2.86;12.3
2.88;12.09
2.9;11.28
2.92;11
2.94;10.23
2.96;8.89
2.98;9.5
3;10.74
3.02;11.49
3.04;11.86
3.06;11.48
3.08;11.22
3.1;10.82
3.12;9.6
3.14;10.7
3.16;12.6
3.18;12.71
3.2;13.08
3.22;13.08
3.24;12.42
3.26;12.59
3.28;11.5
3.3;10.61
3.32;11.3
3.34;10.92
3.36;11.7
3.38;13.11
3.4;13.48
3.42;13.5
3.44;13.58
3.46;13.21
3.48;13.53
3.5;13.27
3.52;12.69
3.54;13.01
3.56;12.72
3.58;12.42
3.6;14.07
3.62;14.43
3.64;15.55
3.66;15.9
3.68;14.92
3.7;14.48
3.72;14.31
3.74;14.4
3.76;14.74
3.78;15.06
3.8;14.61
3.82;16.02
3.84;16.79
3.86;17.51
3.88;17.99
3.9;18.85
3.92;18.53
3.94;17.7
3.96;16.71
3.98;17.2
4;18.14
4.02;20.09
4.04;21.07
4.06;21.5
4.08;21.87
4.1;19.93
4.12;20.28
4.14;19.38
4.16;20.73
4.18;20.95
4.2;23.05
4.22;22.95
4.24;24.07
4.26;23.91
4.28;25.8
4.3;26.22
4.32;27.27
4.34;28.6
4.36;27.54
4.38;29.92
4.4;28.83
4.42;31.99
4.44;32.52
4.46;35.85
4.48;35.11
4.5;37.72
4.52;36.05
4.54;37.35
4.56;40.55
4.58;43.47
4.6;46.47
4.62;47.78
4.64;49.99
4.66;52.66
4.68;55.24
4.7;57.35
4.72;60.17
4.74;66.04
4.76;75.71
4.78;78.03
4.8;87.69
4.82;100.85
4.84;112.4
4.86;121.1
4.88;133.24
4.9;145.82
4.92;155.87
4.94;305.35
4.96;546.07
4.98;784.75
5;913.17
5.02;889.45
5.04;727.84
5.06;479.14
5.08;231.07
5.1;84.84

