0 -183.1
0.02 -182.5
0.04 -181.6
0.09 -179.4
0.215 -173.8
0.3835 -166.6
0.5835 -159.2
0.7835 -152.6
0.9835 -146.2
1.1835 -140.6
1.3835 -135.6
1.5835 -130.8
1.7835 -126.1
1.9835 -121.5
2.1835 -116.4
2.3835 -112
2.5835 -107.2
2.7835 -101.8
2.9835 -96.1
3.1835 -89.7
3.3835 -82
3.5835 -72.7
3.7325 -64.1
3.842 -55.2
3.9135 -48.1
3.9785 -36.9
4.0055 -32.5
4.0565 -19.1
4.0765 -11.5
4.0965 1.7
4.1165 23.7
4.1365 85.9
4.1565 125
4.1765 141.4
4.2 152.2
4.231 161.6
4.271 170.2
4.3225 178.1
4.3965 187.3
4.476 194.2
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
