0 183
0.5715 135.9
0.857 126.8
1 122.5
1.2 117.5
1.4 112.5
1.6 109.6
1.8 105.6
2 102.3
2.2 99.1
2.4 96.6
2.6 93.2
2.8 90.9
3 88.4
3.2 85.7
3.4 83
3.6 80.8
3.8 78.1
4 75.7
4.2 73.3
4.4 70.7
4.6 68.4
4.8 66.1
5 63.3
5.2 60.7
5.4 58.1
5.6 55.3
5.8 52.1
6 49.2
6.2 45.9
6.4 42.1
6.6 39
6.8 34.3
7 29.8
7.2 23.7
7.4 17.9
7.6 9.4
7.7775 -0.1
7.8955 -9.3
7.9665 -17.1
8.018 -23.7
8.0715 -32.6
8.1085 -42
8.129 -47
8.1645 -62.2
8.1845 -75.1
8.2045 -105.4
8.2245 -137.4
8.2445 -155.2
8.2645 -167.2
8.2845 -174.4
8.3215 -184.2
8.363 -192
8.4225 -200.4
8.4975 -207.7
8.6165 -216.3
8.768 -224.2
8.968 -232.1
9.168 -237.6
9.368 -242.3
9.568 -246.4
9.768 -249.7
9.968 -252.4
10 -252.6
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
