0.215	173.2	-0.002	0.263
0.4015	165.4	-0.010	0.752
0.6015	157.8	-0.032	1.401
0.8015	151.6	-0.070	1.800
1.0015	145	6.765	0.725
1.2015	139.8	10.945	0.728
1.4015	134.6	7.049	1.685
1.6015	129.7	6.026	3.615
1.8015	125.1	5.604	3.968
2.0015	120.3	4.976	4.897
2.2015	115.8	4.976	4.991
2.4015	111	4.430	4.565
2.6015	106	4.430	4.273
2.8015	100.6	4.619	4.197
3.0015	95.2	4.249	4.267
3.2015	88.7	4.235	4.195
3.4015	81.1	4.207	4.185
3.6015	71.8	4.216	4.162
3.75	62	4.216	4.162
3.8355	54.3	4.176	4.164
3.8995	48.4	4.176	4.164
3.9845	35	4.163	4.144
4.014	28.6	4.132	4.120
4.0415	21.5	4.131	4.121
4.067	11.9	4.128	4.119
4.087	-0.9	4.130	4.123
4.107	-20.6	4.130	4.123
4.127	-86.4	4.174	4.126
4.147	-125.8	4.174	4.126
4.167	-140.8	4.127	4.124
4.195	-153.8	4.127	4.124
4.223	-162.4	4.128	4.124
4.262	-172.1	4.128	4.124
4.302	-178.4	4.131	4.130
4.38	-187.5	4.131	4.130
4.4735	-195.9	4.131	4.130
4.591	-203.2	4.131	4.130
