2 4.6
2.05 4.9
2.1 4.5
2.15 3.8
2.2 3.1
2.25 2.5
2.3 1.8
2.35 1
2.4 0.4
2.45 0
2.5 -0.7
2.55 -1.4
2.6 -2
2.65 -2.4
2.7 -3.1
2.75 -3.8
2.8 -4.2
2.85 -4.9
2.9 -5.5
2.95 -6.2
3 -6.6
3.05 -7.1
3.1 -8.1
3.15 -8.6
3.2 -9.3
3.25 -10.2
3.3 -10.8
3.35 -11.5
3.4 -12.1
3.45 -12.8
3.5 -13.7
3.55 -14.5
3.6 -15.1
3.65 -16.1
3.7 -17
3.75 -17.7
3.8 -18.5
3.85 -19.4
3.9 -20.2
3.95 -21.3
4 -22.3
4.05 -23.4
4.1 -24.5
4.15 -25.7
4.2 -26.8
4.25 -28.4
4.3 -29.4
4.35 -30.9
4.4 -32.6
4.45 -34.4
4.5 -36.1
4.55 -38.2
4.6 -40.3
4.65 -42.8
4.7 -45.9
4.75 -49.1
4.8 -53.3
4.85 -58.3
4.9 -64.7
4.95 -75.8
5 -98.1
5.05 -157.9
5.1 -172.9
5.15 -177.8
5.2 -182.2
5.25 -185.5
5.3 -188
5.35 -190.1
5.4 -191.9
5.45 -193.4
5.5 -194.7
