V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
2.6;-19.61
2.65;-19.51
2.7;-19.19
2.75;-19.09
2.8;-19.09
2.85;-18.97
2.9;-19.39
2.95;-20
3;-20.4
3.05;-20.51
3.1;-20.6
3.15;-21
3.2;-21.09
3.25;-21.31
3.3;-21.37
3.35;-22
3.4;-22.29
3.45;-22.79
3.5;-23.4
3.55;-24
3.6;-24.51
3.65;-24.57
3.7;-25.19
3.75;-25.78
3.8;-26.68
3.85;-27.48
3.9;-28.72
3.95;-29.68
4;-30.49
4.05;-31.16
4.1;-32.45
4.15;-34.26
4.2;-35.93
4.25;-38.39
4.3;-40.74
4.35;-43.44
4.4;-45.83
4.45;-48.73
4.5;-52.69
4.55;-57.62
4.6;-63.79
4.65;-71.34
4.7;-78.66
4.75;-85.17
4.8;-31.45
4.85;-171.02
4.9;-444.1
4.95;-719.3
5;-894.45
5.05;-912.15
5.1;-766.25
5.15;-503.77
5.2;-220.75
5.25;-40.69

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;159.3
0.05;157.6
0.1;155.8
0.15;153.8
0.2;151.9
0.25;149.9
0.3;148.3
0.35;146.4
0.4;144.6
0.45;143
0.5;141.2
0.55;139.5
0.6;138
0.65;136.5
0.7;134.8
0.75;133.5
0.8;132
0.85;130.6
0.9;129.2
0.95;127.8
1;126.6
1.05;125.4
1.1;124.1
1.15;122.9
1.2;121.7
1.25;120.5
1.3;119.3
1.35;118.1
1.4;117.1
1.45;116
1.5;114.9
1.55;113.7
1.6;112.7
1.65;111.6
1.7;110.6
1.75;109.6
1.8;108.6
1.85;107.6
1.9;106.6
1.95;105.6
2;104.6
2.05;103.7
2.1;102.7
2.15;101.7
2.2;100.8
2.25;99.8
2.3;98.8
2.35;97.9
2.4;97
2.45;96
2.5;95.1
2.55;94.1
2.6;93.1
2.65;92.2
2.7;91.2
2.75;90.3
2.8;89.2
2.85;88.2
2.9;87.3
2.95;86.3
3;85.3
3.05;84.4
3.1;83.3
3.15;82.2
3.2;81.3
3.25;80.1
3.3;79.1
3.35;77.9
3.4;76.8
3.45;75.9
3.5;74.6
3.55;73.4
3.6;72.3
3.65;71
3.7;69.8
3.75;68.6
3.8;67.2
3.85;65.9
3.9;64.5
3.95;63
4;61.6
4.05;59.9
4.1;58.3
4.15;56.6
4.2;54.9
4.25;53.1
4.3;51
4.35;49.2
4.4;47
4.45;44.6
4.5;42
4.55;39.1
4.6;36.1
4.65;32.7
4.7;29
4.75;24
4.8;19.3
4.85;12.5
4.9;5
4.95;-9.1
5;-31.9
5.05;-137.4
5.1;-177
5.15;-191.8
5.2;-202
5.25;-209.5
5.3;-215.2
5.35;-219.8
5.4;-223.4
5.45;-227
5.5;-229.9

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
0.25;-37.33
0.3;-36.19
0.35;-35.44
0.4;-34.99
0.45;-34.06
0.5;-33.69
0.55;-32.37
0.6;-31.57
0.65;-30.63
0.7;-29.56
0.75;-29.28
0.8;-28.85
0.85;-27.78
0.9;-26.88
0.95;-26.32
1;-25.25
1.05;-24.69
1.1;-24.28
1.15;-24.4
1.2;-24.33
1.25;-23.71
1.3;-22.88
1.35;-22.6
1.4;-22.18
1.45;-22
1.5;-21.91
1.55;-21.8
1.6;-21.52
1.65;-20.8
1.7;-20.28
1.75;-19.97
1.8;-20.11
1.85;-19.89
1.9;-19.8
1.95;-19.72
2;-19.49
2.05;-19.28
2.1;-19.32
2.15;-19.4
2.2;-19.29
2.25;-19.23
2.3;-18.88
2.35;-18.77
2.4;-18.92
2.45;-18.88
2.5;-19.2
2.55;-19.21
2.6;-19.19
2.65;-19.41
2.7;-19.6
2.75;-19.59
2.8;-19.83
2.85;-19.68
2.9;-19.37
2.95;-19.63
3;-19.54
3.05;-20.19
3.1;-20.52
3.15;-20.87
3.2;-21.64
3.25;-21.6
3.3;-21.46
3.35;-21.93
3.4;-22.17
3.45;-22.37
3.5;-23.15
3.55;-23.44
3.6;-24.21
3.65;-24.64
3.7;-24.73
3.75;-25.8
3.8;-26.48
3.85;-27.36
3.9;-28.61
3.95;-29.79
4;-30.89
4.05;-31.88
4.1;-33.3
4.15;-34.47
4.2;-35.64
4.25;-36.93
4.3;-39.1
4.35;-41.99
4.4;-45.43
4.45;-49.4
4.5;-52.94
4.55;-59.08
4.6;-64.21
4.65;-72.3
4.7;-77.49
4.75;-83.83
4.8;-18.48
4.85;-152.91
4.9;-432.11
4.95;-718.33
5;-906.07
5.05;-931.97
5.1;-789.92
5.15;-522.95
5.2;-230.08
5.25;-37.37

