V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 E
0;159.5
2;105.3
2.05;103.6
2.1;102.7
2.15;101.7
2.2;100.7
2.25;99.7
2.3;98.8
2.35;97.8
2.4;96.9
2.45;96
2.5;95
2.55;94
2.6;93.1
2.65;92.1
2.7;91.1
2.75;90.2
2.8;89.2
2.85;88.3
2.9;87.2
2.95;86.2
3;85.3
3.05;84.2
3.1;83.2
3.15;82.1
3.2;81.2
3.25;80.1
3.3;78.9
3.35;77.9
3.4;76.7
3.45;75.7
3.5;74.5
3.55;73.4
3.6;72.2
3.65;70.9
3.7;69.7
3.75;68.5
3.8;67
3.85;65.8
3.9;64.5
3.95;63
4;61.4
4.05;60
4.1;58.2
4.15;56.5
4.2;54.8
4.25;52.9
4.3;50.9
4.35;48.9
4.4;46.7
4.45;44
4.5;41.8
4.55;38.9
4.6;35.8
4.65;32.1
4.7;28.8
4.75;24.5
4.8;18.9
4.85;11.7
4.9;3.4
4.95;-13
5;-35
5.05;-141.1
5.1;-177.5
5.15;-193.1
5.2;-202.8
5.25;-210.2
5.3;-215.6
5.35;-220.1
5.4;-224
5.45;-227.4
5.5;-230.4

V [mL];0.1 M TRIS - 5 mL in 60 mL H2O TitrationEQP1 dE/dV
2.2;-20.43
2.25;-18.47
2.3;-19
2.35;-18.8
2.4;-18.77
2.45;-18.88
2.5;-19.23
2.55;-19.29
2.6;-19.52
2.65;-19.2
2.7;-19.07
2.75;-19.41
2.8;-19.49
2.85;-19.59
2.9;-19.81
2.95;-20.31
3;-20.3
3.05;-20.19
3.1;-20.39
3.15;-20.78
3.2;-21.31
3.25;-21.41
3.3;-21.9
3.35;-22.09
3.4;-22.2
3.45;-22.28
3.5;-22.89
3.55;-23.36
3.6;-24.11
3.65;-25.04
3.7;-25.25
3.75;-25.6
3.8;-26.31
3.85;-26.91
3.9;-28.08
3.95;-29.43
4;-30.74
4.05;-32.4
4.1;-33.63
4.15;-34.84
4.2;-35.99
4.25;-38.54
4.3;-40.4
4.35;-43.09
4.4;-45.62
4.45;-49.84
4.5;-54.03
4.55;-57.72
4.6;-61.92
4.65;-69.95
4.7;-75.41
4.75;-87.98
4.8;-28.65
4.85;-172.19
4.9;-449.16
4.95;-727.29
5;-903.78
5.05;-922.13
5.1;-775.26
5.15;-508.91
5.2;-223.39
5.25;-34.42

