4.879 0.9995,
4.539 0.9986,
4.868 0.9994,
4.461 0.9998,
4.768 0.9976,
4.648 0.9995,
4.360 0.9982,
4.749 0.9992,
7.507 0.9997,
8.162 0.9996,
8.437 0.9999,
8.194 0.9999,
7.877 0.9997,
7.564 0.9998,
8.062 0.9988,
7.538 0.9988,
4.532 1.0000,
5.337 1.0000,
4.354 0.9999,
5.485 1.0000,
4.087 0.9999,
4.311 0.9999,
4.138 0.9999,
4.157 0.9998,
4.123 0.9999,
4.124 0.9998,
5.285 0.9992,
5.304 0.9993,
5.380 0.9992,
5.378 0.9995,
5.467 0.9992,
5.509 0.9976,
5.332 0.9992,
5.166 0.9985,
5.617 0.9994,
5.165 0.9986,
5.507 0.9993,
5.141 0.9985,
8.010 1.0000,
18.659 0.9980,
0.478 0.9978,
5.229 1.0000,
13.974 0.9972,
19.500 0.9998,
5.225 0.9998,
5.221 0.9997,
8.301 0.8863,
5.427 0.9998,
5.459 0.9995,
5.365 0.9978,
