4.900 0.9987,
4.566 0.9976,
4.886 0.9988,
4.490 0.9983,
4.771 0.9977,
4.678 0.9981,
4.372 0.9974,
4.772 0.9980,
7.519 0.9995,
8.174 0.9994,
8.436 0.9999,
8.211 0.9998,
7.899 0.9996,
7.577 0.9996,
8.078 0.9986,
7.545 0.9988,
4.537 0.9995,
5.343 0.9996,
4.360 0.9994,
5.492 0.9996,
4.096 0.9995,
4.322 0.9997,
4.141 0.9998,
4.158 0.9994,
4.132 0.9996,
4.135 0.9994,
5.294 0.9976,
5.300 0.9980,
5.383 0.9982,
5.377 0.9984,
5.483 0.9980,
5.543 0.9970,
5.328 0.9981,
5.140 0.9981,
5.628 0.9971,
5.192 0.9973,
5.517 0.9982,
5.181 0.9969,
8.014 0.9999,
18.659 0.9980,
0.479 0.9975,
5.229 1.0000,
13.963 0.9999,
19.500 0.9998,
5.058 0.9937,
5.135 0.9956,
5.137 0.9935,
5.344 0.9939,
5.285 0.9952,
5.436 0.9974,
