Method,V_eq [mL],V_eq_unc [mL],R²,Zones (start-end),Notes
Gran Raw,5.031,0.005,0.9997,50-88,EQP on data trimmed to V_opt
Schwartz Optimized,5.002,0.005,0.9997,46-89,EQP on data trimmed to V_opt
