2 4.3
2.05 4.4
2.1 3.9
2.15 3.4
2.2 2.8
2.25 2.1
2.3 1.5
2.35 0.9
2.4 0.1
2.45 -0.4
2.5 -0.9
2.55 -1.6
2.6 -2.2
2.65 -2.8
2.7 -3.2
2.75 -4
2.8 -4.3
2.85 -5.1
2.9 -5.6
2.95 -6.4
3 -7
3.05 -7.6
3.1 -8.2
3.15 -8.6
3.2 -9.5
3.25 -10.1
3.3 -10.9
3.35 -11.6
3.4 -12.3
3.45 -13
3.5 -13.7
3.55 -14.4
3.6 -15.3
3.65 -16
3.7 -16.8
3.75 -17.7
3.8 -18.6
3.85 -19.5
3.9 -20.5
3.95 -21.4
4 -22.5
4.05 -23.5
4.1 -24.6
4.15 -25.7
4.2 -26.8
4.25 -28.2
4.3 -29.5
4.35 -31.1
4.4 -32.6
4.45 -34.4
4.5 -36.3
4.55 -38.1
4.6 -40.4
4.65 -42.9
4.7 -45.7
4.75 -49
4.8 -53.3
4.85 -58.6
4.9 -65.8
4.95 -77.4
5 -103.3
5.05 -158.7
5.1 -173.5
5.15 -180.3
5.2 -183
5.25 -185.8
5.3 -188.4
5.35 -190.6
5.4 -192.3
5.45 -193.8
5.5 -195.2
