0.215	174.4	-0.002
0.415	166.3	-0.010
0.615	158.5	-0.033
0.815	152.2	-0.071
1.015	146.3	7.712
1.215	140.9	7.712
1.415	136.2	7.788
1.615	131.4	6.649
1.815	127	6.157
2.015	122.4	7.788
2.215	118.1	7.788
2.415	113.5	4.653
2.615	108.8	4.653
2.815	103.9	4.589
3.015	98.5	4.415
3.215	93	4.415
3.415	86.4	4.415
3.615	78.4	4.401
3.8145	69.1	4.401
3.961	59.4	4.351
4.0475	51.2	4.351
4.106	44.7	4.357
4.1675	35	4.357
4.2035	27.7	4.348
4.2335	17.7	4.326
4.2535	11	4.318
4.277	-0.7	4.318
4.297	-26.3	4.317
4.317	-93.4	4.317
4.337	-127.4	4.316
4.357	-142.2	4.316
4.382	-153.4	4.317
4.411	-162.6	4.317
4.447	-169.9	4.321
4.5075	-179.7	4.324
4.5705	-187.2	4.324
4.661	-195.2	4.324
