V [mL];Potassium hydrogen phthalate TitrationEQP1 E
4.3585;-119.1
4.3635;-125.7
4.37;-133.6
4.375;-138.2
4.3825;-143.2
4.393;-149.9
4.401;-153.7

V [mL];Potassium hydrogen phthalate TitrationEQP1 dE/dV
0.131;-41.83
0.231;-40.85
0.331;-39.42
0.431;-37.72
0.531;-35.56
0.631;-33.65
0.731;-31.36
0.831;-29.61
0.931;-28.25
1.031;-27.7
1.131;-26.73
1.231;-25.69
1.331;-24.7
1.431;-23.81
1.531;-23.13
1.631;-22.48
1.731;-22.22
1.831;-22.13
1.931;-22.06
2.031;-21.61
2.131;-22.01
2.231;-22.09
2.331;-22.08
2.431;-22.1
2.531;-22.21
2.631;-22.65
2.731;-23.33
2.831;-24.32
2.931;-25.63
3.031;-26.61
3.131;-27.64
3.231;-29.29
3.331;-31.73
3.431;-33.64
3.531;-36.37
3.631;-40.59
3.731;-46.31
3.831;-54.49
3.931;-67.45
3.995;-80.05
4.048;-93.8
4.1155;-120.72
4.158;-145.98
4.1855;-168.86
4.2175;-209.66
4.2395;-249.59
4.2635;-310.35
4.2775;-367.79
4.2905;-450.27
4.301;-554.8
4.313;-893.28
4.32;-1165.05
4.3285;-1911.39
4.3335;-2519.17
4.3385;-3322.94
4.3435;-4182.99
4.3485;-4128.43
4.3535;-3204.6
4.3585;-2173.48
4.3635;-1498.36

V [mL];Potassium hydrogen phthalate TitrationEQP1 E
0;179.1
0.005;178.9
0.01;178.8
0.0225;178.4
0.0535;177.4
0.131;174.9
0.231;171.3
0.331;168.1
0.431;165.1
0.531;161.6
0.631;158.8
0.731;156.1
0.831;153.5
0.931;150.8
1.031;148.4
1.131;146.1
1.231;143.8
1.331;141.6
1.431;139.5
1.531;137.4
1.631;135.3
1.731;133.6
1.831;131.7
1.931;129.7
2.031;128
2.131;126.3
2.231;124.4
2.331;122.6
2.431;120.8
2.531;119.2
2.631;117.5
2.731;115.6
2.831;114
2.931;112.3
3.031;110.7
3.131;108.9
3.231;107
3.331;105.1
3.431;103.4
3.531;101.4
3.631;99.5
3.731;97.6
3.831;95.4
3.931;93.2
4.031;91.1
4.131;88.7
4.231;86.3
4.331;83.7
4.431;81
4.531;77.7
4.631;74.6
4.731;71
4.831;66.9
4.931;62.4
5.031;56.9
5.1115;51.8
5.181;46.4
5.2335;41
5.2705;36.9
5.312;31.2
5.342;26.5
5.37;20.5
5.387;16.3
5.4045;11.3
5.4195;5.6
5.43;1.2
5.4405;-2.8
5.455;-15.4
5.46;-19.5
5.4665;-33.4
5.4715;-56.1
5.4765;-85.4
5.4815;-102.9
5.4865;-114.2
5.4915;-122.2
5.4965;-130
5.5015;-134.3
5.512;-142.8
5.5185;-146.8
5.5295;-152.7
5.54;-157.2

V [mL];Potassium hydrogen phthalate TitrationEQP1 dE/dV
0.131;-33.3
0.231;-33.46
0.331;-32.85
0.431;-31.48
0.531;-30.12
0.631;-28.67
0.731;-27.4
0.831;-25.95
0.931;-24.71
1.031;-24.08
1.131;-23.09
1.231;-22.41
1.331;-21.63
1.431;-20.88
1.531;-20.21
1.631;-19.59
1.731;-18.91
1.831;-18.4
1.931;-18.08
2.031;-18.13
2.131;-18.12
2.231;-17.63
2.331;-17.6
2.431;-17.61
2.531;-17.4
2.631;-17.04
2.731;-16.88
2.831;-16.87
2.931;-17.21
3.031;-17.32
3.131;-17.74
3.231;-18.37
3.331;-18.53
3.431;-18.74
3.531;-19.1
3.631;-19.61
3.731;-20.38
3.831;-21.16
3.931;-21.86
4.031;-22.6
4.131;-23.78
4.231;-25.14
4.331;-26.92
4.431;-29.04
4.531;-31.23
4.631;-34.23
4.731;-37.84
4.831;-42.56
4.931;-50.02
5.031;-61.88
5.1115;-75.69
5.181;-93.93
5.2335;-114.03
5.2705;-133.14
5.312;-165.12
5.342;-198.72
5.37;-243.07
5.387;-290.2
5.4045;-358.65
5.4195;-455.86
5.43;-577.51
5.4405;-773.53
5.455;-1713.79
5.46;-2040.13
5.4665;-2731.71
5.4715;-3388.93
5.4765;-3746.02
5.4815;-3266.64
5.4865;-2499.86
5.4915;-1693.49
5.4965;-1309.71

