V [mL];TRIS A TitrationEQP1 E
6.168;739.77
6.188;573.88
6.208;478.28
6.232;400.09

V [mL];TRIS A TitrationEQP1 E
0;412.1
0.02;412.6
0.04;413
0.09;413.4
0.215;414.5
0.415;416.1
0.615;417.7
0.815;419.2
1.015;420.8
1.215;422.2
1.415;423.7
1.615;425.3
1.815;426.7
2.015;428.5
2.215;430.3
2.415;432
2.615;433.6
2.815;435.2
3.015;437
3.215;438.7
3.415;440.6
3.615;442.6
3.815;444.6
4.015;446.5
4.215;441.7
4.415;443.9
4.615;439.9
4.815;438.9
5.015;451
5.104;447.2
5.304;453.1
5.504;458.8
5.704;467.6
5.869;470.4
6.069;479.1
6.24;486.7
6.414;495.7
6.547;507
6.604;515.3
6.636;519.7
6.697;529.8
6.737;541.1
6.757;548.1
6.777;556.9
6.797;570
6.817;590.6
6.837;612.8
6.857;629.2
6.877;639.7
6.901;648.5
6.932;656.4
6.978;665
7.035;672.3
7.126;680.7
7.248;689

V [mL];TRIS A TitrationEQP1 dE/dV
0.415;8.21
0.615;7.73
0.815;7.64
1.015;7.44
1.215;7.4
1.415;7.54
1.615;7.87
1.815;8.2
2.015;8.42
2.215;8.48
2.415;8.45
2.615;8.39
2.815;8.38
3.015;8.74
3.215;11.15
3.415;9.52
3.615;8.04
3.815;4.1
4.015;-4.58
4.215;-6.25
4.415;-4.4
4.615;1.67
4.815;10.06
5.015;20.91
5.104;23.28
5.304;29.07
5.504;29.8
5.704;29.98
5.869;36.3
6.069;42.51
6.24;55.02
6.414;83.73
6.547;128.03
6.604;162.23
6.636;193.94
6.697;292.99
6.737;419.62
6.757;476.95
6.777;597.98
6.797;729.19
6.817;863
6.837;791.04
6.857;628.52
6.877;514.36
6.901;434.55

V [mL];TRIS A TitrationEQP1 E
0;414.7
0.02;415.2
0.04;415.5
0.09;416.1
0.215;417.1
0.415;418.7
0.615;420.5
0.815;422
1.015;423.6
1.215;425.3
1.415;426.9
1.615;428.6
1.815;430.3
2.015;432
2.215;433.8
2.415;435.6
2.615;437.4
2.815;439.3
3.015;441.3
3.215;443.3
3.415;445.5
3.615;447.7
